ts,value,host,itemkey
1755527091,0.449454,Grafana,"system.cpu.util[,user]"
1755527151,0.522481,Grafana,"system.cpu.util[,user]"
1755527211,0.465732,Grafana,"system.cpu.util[,user]"
1755527271,0.601171,Grafana,"system.cpu.util[,user]"
1755527331,0.716597,Grafana,"system.cpu.util[,user]"
1755527391,0.962443,Grafana,"system.cpu.util[,user]"
1755527451,0.442299,Grafana,"system.cpu.util[,user]"
1755527511,0.533745,Grafana,"system.cpu.util[,user]"
1755527571,0.73849,Grafana,"system.cpu.util[,user]"
1755527631,0.453291,Grafana,"system.cpu.util[,user]"
1755527691,0.387106,Grafana,"system.cpu.util[,user]"
1755527751,0.405765,Grafana,"system.cpu.util[,user]"
1755527811,0.336902,Grafana,"system.cpu.util[,user]"
1755527871,0.31586,Grafana,"system.cpu.util[,user]"
1755527931,0.420777,Grafana,"system.cpu.util[,user]"
1755527991,0.339352,Grafana,"system.cpu.util[,user]"
1755528051,0.79698,Grafana,"system.cpu.util[,user]"
1755528111,4.304386,Grafana,"system.cpu.util[,user]"
1755528171,3.399906,Grafana,"system.cpu.util[,user]"
1755528231,5.424596,Grafana,"system.cpu.util[,user]"
1755528291,4.105783,Grafana,"system.cpu.util[,user]"
1755528351,0.826411,Grafana,"system.cpu.util[,user]"
1755528411,0.410999,Grafana,"system.cpu.util[,user]"
1755528471,0.448237,Grafana,"system.cpu.util[,user]"
1755528531,0.370114,Grafana,"system.cpu.util[,user]"
1755528591,0.29933,Grafana,"system.cpu.util[,user]"
1755528651,0.332681,Grafana,"system.cpu.util[,user]"
1755528711,0.315958,Grafana,"system.cpu.util[,user]"
1755528771,0.284412,Grafana,"system.cpu.util[,user]"
1755528831,0.293688,Grafana,"system.cpu.util[,user]"
1755528891,0.250553,Grafana,"system.cpu.util[,user]"
1755528951,0.412095,Grafana,"system.cpu.util[,user]"
1755529011,0.375956,Grafana,"system.cpu.util[,user]"
1755529071,0.476569,Grafana,"system.cpu.util[,user]"
1755529131,0.596608,Grafana,"system.cpu.util[,user]"
1755529191,0.641951,Grafana,"system.cpu.util[,user]"
1755529251,1.560466,Grafana,"system.cpu.util[,user]"
1755529311,0.83778,Grafana,"system.cpu.util[,user]"
1755529371,0.502491,Grafana,"system.cpu.util[,user]"
1755529431,0.294948,Grafana,"system.cpu.util[,user]"
1755529491,0.25033,Grafana,"system.cpu.util[,user]"
1755529551,0.396809,Grafana,"system.cpu.util[,user]"
1755529611,0.379856,Grafana,"system.cpu.util[,user]"
1755529671,0.382084,Grafana,"system.cpu.util[,user]"
1755529731,0.43845,Grafana,"system.cpu.util[,user]"
1755529791,0.74772,Grafana,"system.cpu.util[,user]"
1755529851,0.483003,Grafana,"system.cpu.util[,user]"
1755529911,0.692873,Grafana,"system.cpu.util[,user]"
1755529971,0.32797,Grafana,"system.cpu.util[,user]"
1755530031,0.3778,Grafana,"system.cpu.util[,user]"
1755530091,0.251749,Grafana,"system.cpu.util[,user]"
1755530151,0.301529,Grafana,"system.cpu.util[,user]"
1755530211,0.366868,Grafana,"system.cpu.util[,user]"
1755530271,0.296899,Grafana,"system.cpu.util[,user]"
1755530331,0.27818,Grafana,"system.cpu.util[,user]"
1755530391,0.359313,Grafana,"system.cpu.util[,user]"
1755530451,0.338379,Grafana,"system.cpu.util[,user]"
1755530511,0.268492,Grafana,"system.cpu.util[,user]"
1755530571,0.313581,Grafana,"system.cpu.util[,user]"
1755530631,0.243455,Grafana,"system.cpu.util[,user]"
1755530691,0.235153,Grafana,"system.cpu.util[,user]"
1755530751,0.255091,Grafana,"system.cpu.util[,user]"
1755530811,0.270263,Grafana,"system.cpu.util[,user]"
1755530871,0.226783,Grafana,"system.cpu.util[,user]"
1755530931,0.254499,Grafana,"system.cpu.util[,user]"
1755530991,0.315237,Grafana,"system.cpu.util[,user]"
1755531051,0.415456,Grafana,"system.cpu.util[,user]"
1755531111,0.340841,Grafana,"system.cpu.util[,user]"
1755531171,0.454674,Grafana,"system.cpu.util[,user]"
1755531231,0.381383,Grafana,"system.cpu.util[,user]"
1755531291,0.264278,Grafana,"system.cpu.util[,user]"
1755531351,0.240709,Grafana,"system.cpu.util[,user]"
1755531411,0.226887,Grafana,"system.cpu.util[,user]"
1755531471,0.264267,Grafana,"system.cpu.util[,user]"
1755531531,0.668858,Grafana,"system.cpu.util[,user]"
1755531591,0.498725,Grafana,"system.cpu.util[,user]"
1755531651,0.626522,Grafana,"system.cpu.util[,user]"
1755531711,0.418043,Grafana,"system.cpu.util[,user]"
1755531771,0.511103,Grafana,"system.cpu.util[,user]"
1755531831,0.596494,Grafana,"system.cpu.util[,user]"
1755531891,0.305546,Grafana,"system.cpu.util[,user]"
1755531951,0.26816,Grafana,"system.cpu.util[,user]"
1755532011,0.306779,Grafana,"system.cpu.util[,user]"
1755532071,0.273942,Grafana,"system.cpu.util[,user]"
1755532131,0.310131,Grafana,"system.cpu.util[,user]"
1755532191,0.302578,Grafana,"system.cpu.util[,user]"
1755532251,0.296282,Grafana,"system.cpu.util[,user]"
1755532311,0.292353,Grafana,"system.cpu.util[,user]"
1755532371,0.323097,Grafana,"system.cpu.util[,user]"
1755532431,0.391131,Grafana,"system.cpu.util[,user]"
1755532491,0.284701,Grafana,"system.cpu.util[,user]"
1755532551,0.335753,Grafana,"system.cpu.util[,user]"
1755532611,0.363454,Grafana,"system.cpu.util[,user]"
1755532671,0.32748,Grafana,"system.cpu.util[,user]"
1755532731,0.299451,Grafana,"system.cpu.util[,user]"
1755532791,0.294787,Grafana,"system.cpu.util[,user]"
1755532851,0.323115,Grafana,"system.cpu.util[,user]"
1755532911,0.265813,Grafana,"system.cpu.util[,user]"
1755532971,0.270416,Grafana,"system.cpu.util[,user]"
1755533031,0.410886,Grafana,"system.cpu.util[,user]"
1755533091,0.276027,Grafana,"system.cpu.util[,user]"
1755533151,0.301419,Grafana,"system.cpu.util[,user]"
1755533211,0.322958,Grafana,"system.cpu.util[,user]"
1755533271,0.29445,Grafana,"system.cpu.util[,user]"
1755533331,0.347344,Grafana,"system.cpu.util[,user]"
1755533391,0.288257,Grafana,"system.cpu.util[,user]"
1755533451,0.288104,Grafana,"system.cpu.util[,user]"
1755533511,0.289625,Grafana,"system.cpu.util[,user]"
1755533571,0.266443,Grafana,"system.cpu.util[,user]"
1755533631,0.275643,Grafana,"system.cpu.util[,user]"
1755533691,0.280993,Grafana,"system.cpu.util[,user]"
1755533751,0.337212,Grafana,"system.cpu.util[,user]"
1755533811,0.375289,Grafana,"system.cpu.util[,user]"
1755533871,0.493461,Grafana,"system.cpu.util[,user]"
1755533931,0.649405,Grafana,"system.cpu.util[,user]"
1755533991,0.460226,Grafana,"system.cpu.util[,user]"
1755534051,0.581703,Grafana,"system.cpu.util[,user]"
1755534111,0.657013,Grafana,"system.cpu.util[,user]"
1755534171,0.463884,Grafana,"system.cpu.util[,user]"
1755534231,0.50407,Grafana,"system.cpu.util[,user]"
1755534291,0.490059,Grafana,"system.cpu.util[,user]"
1755534351,0.449798,Grafana,"system.cpu.util[,user]"
1755534411,0.379339,Grafana,"system.cpu.util[,user]"
1755534471,0.331426,Grafana,"system.cpu.util[,user]"
1755534531,0.293884,Grafana,"system.cpu.util[,user]"
1755534591,0.342255,Grafana,"system.cpu.util[,user]"
1755534651,0.331296,Grafana,"system.cpu.util[,user]"
1755534711,0.308999,Grafana,"system.cpu.util[,user]"
1755534771,0.309809,Grafana,"system.cpu.util[,user]"
1755534831,0.286952,Grafana,"system.cpu.util[,user]"
1755534891,0.29379,Grafana,"system.cpu.util[,user]"
1755534951,0.288257,Grafana,"system.cpu.util[,user]"
1755535011,0.295129,Grafana,"system.cpu.util[,user]"
1755535071,0.293108,Grafana,"system.cpu.util[,user]"
1755535131,0.279921,Grafana,"system.cpu.util[,user]"
1755535191,0.28122,Grafana,"system.cpu.util[,user]"
1755535516,0.583123,Grafana,"system.cpu.util[,user]"
1755535551,0.852172,Grafana,"system.cpu.util[,user]"
1755535611,0.541902,Grafana,"system.cpu.util[,user]"
1755535671,0.3975,Grafana,"system.cpu.util[,user]"
1755535731,0.376622,Grafana,"system.cpu.util[,user]"
1755535791,0.289661,Grafana,"system.cpu.util[,user]"
1755535851,0.302106,Grafana,"system.cpu.util[,user]"
1755535911,0.296682,Grafana,"system.cpu.util[,user]"
1755535971,0.30163,Grafana,"system.cpu.util[,user]"
1755536031,0.307765,Grafana,"system.cpu.util[,user]"
1755536091,0.293909,Grafana,"system.cpu.util[,user]"
1755536234,0.413724,Grafana,"system.cpu.util[,user]"
1755536271,0.590138,Grafana,"system.cpu.util[,user]"
1755536331,2.557405,Grafana,"system.cpu.util[,user]"
1755536391,2.163448,Grafana,"system.cpu.util[,user]"
1755536451,2.010159,Grafana,"system.cpu.util[,user]"
1755536511,1.164151,Grafana,"system.cpu.util[,user]"
1755536571,2.386715,Grafana,"system.cpu.util[,user]"
1755536631,2.334952,Grafana,"system.cpu.util[,user]"
1755536691,2.536738,Grafana,"system.cpu.util[,user]"
1755536751,2.407264,Grafana,"system.cpu.util[,user]"
1755536811,2.841493,Grafana,"system.cpu.util[,user]"
1755536871,1.980942,Grafana,"system.cpu.util[,user]"
1755536931,2.33764,Grafana,"system.cpu.util[,user]"
1755536991,2.341974,Grafana,"system.cpu.util[,user]"
1755537051,1.352145,Grafana,"system.cpu.util[,user]"
1755537111,2.036867,Grafana,"system.cpu.util[,user]"
1755537171,2.075451,Grafana,"system.cpu.util[,user]"
1755537231,2.293572,Grafana,"system.cpu.util[,user]"
1755537291,2.161377,Grafana,"system.cpu.util[,user]"
1755537351,1.378651,Grafana,"system.cpu.util[,user]"
1755537411,3.255296,Grafana,"system.cpu.util[,user]"
1755537471,2.753892,Grafana,"system.cpu.util[,user]"
1755537531,2.510454,Grafana,"system.cpu.util[,user]"
1755537591,2.545626,Grafana,"system.cpu.util[,user]"
1755537651,3.0445,Grafana,"system.cpu.util[,user]"
1755537711,4.23959,Grafana,"system.cpu.util[,user]"
1755537771,8.292661,Grafana,"system.cpu.util[,user]"
1755537831,1.458271,Grafana,"system.cpu.util[,user]"
1755537891,2.710663,Grafana,"system.cpu.util[,user]"
1755537951,3.270039,Grafana,"system.cpu.util[,user]"
1755538011,2.366881,Grafana,"system.cpu.util[,user]"
1755538071,2.216461,Grafana,"system.cpu.util[,user]"
1755538131,1.137234,Grafana,"system.cpu.util[,user]"
1755538191,2.44341,Grafana,"system.cpu.util[,user]"
1755538251,1.927856,Grafana,"system.cpu.util[,user]"
1755538311,4.553282,Grafana,"system.cpu.util[,user]"
1755538371,2.529127,Grafana,"system.cpu.util[,user]"
1755538431,1.215391,Grafana,"system.cpu.util[,user]"
1755538491,3.866568,Grafana,"system.cpu.util[,user]"
1755538551,2.174005,Grafana,"system.cpu.util[,user]"
1755538611,2.072568,Grafana,"system.cpu.util[,user]"
1755538671,2.038915,Grafana,"system.cpu.util[,user]"
1755538731,1.606381,Grafana,"system.cpu.util[,user]"
1755538791,4.758406,Grafana,"system.cpu.util[,user]"
1755538851,2.142225,Grafana,"system.cpu.util[,user]"
1755538911,2.09834,Grafana,"system.cpu.util[,user]"
1755538971,2.680536,Grafana,"system.cpu.util[,user]"
1755539031,1.715433,Grafana,"system.cpu.util[,user]"
1755539091,1.680298,Grafana,"system.cpu.util[,user]"
1755539151,1.944599,Grafana,"system.cpu.util[,user]"
1755539211,1.92503,Grafana,"system.cpu.util[,user]"
1755539271,2.048967,Grafana,"system.cpu.util[,user]"
1755539331,2.331567,Grafana,"system.cpu.util[,user]"
1755539391,1.117459,Grafana,"system.cpu.util[,user]"
1755539451,2.19499,Grafana,"system.cpu.util[,user]"
1755539511,1.983469,Grafana,"system.cpu.util[,user]"
1755539571,2.113396,Grafana,"system.cpu.util[,user]"
1755539631,1.898408,Grafana,"system.cpu.util[,user]"
1755539691,1.61443,Grafana,"system.cpu.util[,user]"
1755539751,4.581056,Grafana,"system.cpu.util[,user]"
1755539811,2.123815,Grafana,"system.cpu.util[,user]"
1755539871,2.659774,Grafana,"system.cpu.util[,user]"
1755539931,2.345068,Grafana,"system.cpu.util[,user]"
1755539991,2.306852,Grafana,"system.cpu.util[,user]"
1755540051,2.168556,Grafana,"system.cpu.util[,user]"
1755540111,3.825596,Grafana,"system.cpu.util[,user]"
1755540171,3.364193,Grafana,"system.cpu.util[,user]"
1755540231,1.744589,Grafana,"system.cpu.util[,user]"
1755540291,1.308773,Grafana,"system.cpu.util[,user]"
1755540351,0.410706,Grafana,"system.cpu.util[,user]"
1755540411,0.590129,Grafana,"system.cpu.util[,user]"
1755540471,0.87867,Grafana,"system.cpu.util[,user]"
1755540531,1.115831,Grafana,"system.cpu.util[,user]"
1755540591,0.479849,Grafana,"system.cpu.util[,user]"
1755540651,0.51823,Grafana,"system.cpu.util[,user]"
1755540711,0.625784,Grafana,"system.cpu.util[,user]"
1755540771,0.552667,Grafana,"system.cpu.util[,user]"
1755540831,0.60712,Grafana,"system.cpu.util[,user]"
1755540891,0.339561,Grafana,"system.cpu.util[,user]"
1755540951,0.353578,Grafana,"system.cpu.util[,user]"
1755541011,0.747395,Grafana,"system.cpu.util[,user]"
1755541071,1.418469,Grafana,"system.cpu.util[,user]"
1755541131,1.672477,Grafana,"system.cpu.util[,user]"
1755541191,0.371259,Grafana,"system.cpu.util[,user]"
1755541251,0.412285,Grafana,"system.cpu.util[,user]"
1755541311,0.420232,Grafana,"system.cpu.util[,user]"
1755541371,0.475445,Grafana,"system.cpu.util[,user]"
1755541431,0.397219,Grafana,"system.cpu.util[,user]"
1755541491,0.356159,Grafana,"system.cpu.util[,user]"
1755541551,0.463135,Grafana,"system.cpu.util[,user]"
1755541611,0.421894,Grafana,"system.cpu.util[,user]"
1755541671,0.459978,Grafana,"system.cpu.util[,user]"
1755541731,1.194243,Grafana,"system.cpu.util[,user]"
1755541791,0.714136,Grafana,"system.cpu.util[,user]"
1755541851,1.57455,Grafana,"system.cpu.util[,user]"
1755541911,2.51603,Grafana,"system.cpu.util[,user]"
1755541971,1.10828,Grafana,"system.cpu.util[,user]"
1755542031,0.44414,Grafana,"system.cpu.util[,user]"
1755542091,0.321063,Grafana,"system.cpu.util[,user]"
1755542151,0.527484,Grafana,"system.cpu.util[,user]"
1755542211,1.063845,Grafana,"system.cpu.util[,user]"
1755542271,0.379025,Grafana,"system.cpu.util[,user]"
1755542331,0.359076,Grafana,"system.cpu.util[,user]"
1755542391,0.342157,Grafana,"system.cpu.util[,user]"
1755542451,0.384016,Grafana,"system.cpu.util[,user]"
1755542511,0.397451,Grafana,"system.cpu.util[,user]"
1755542571,0.336555,Grafana,"system.cpu.util[,user]"
1755542631,0.325842,Grafana,"system.cpu.util[,user]"
1755542691,0.33409,Grafana,"system.cpu.util[,user]"
1755542751,0.450878,Grafana,"system.cpu.util[,user]"
1755542811,0.468361,Grafana,"system.cpu.util[,user]"
1755542871,0.330393,Grafana,"system.cpu.util[,user]"
1755542931,0.403108,Grafana,"system.cpu.util[,user]"
1755542991,0.333059,Grafana,"system.cpu.util[,user]"
1755543051,0.439461,Grafana,"system.cpu.util[,user]"
1755543111,0.395802,Grafana,"system.cpu.util[,user]"
1755543171,0.392604,Grafana,"system.cpu.util[,user]"
1755543231,0.336099,Grafana,"system.cpu.util[,user]"
1755543291,1.008811,Grafana,"system.cpu.util[,user]"
